"month","crime","count"
2001-01-01,"ARSON",67
2001-01-01,"ASSAULT",2123
2001-01-01,"BATTERY",6525
2001-01-01,"BURGLARY",1934
2001-01-01,"CRIM SEXUAL ASSAULT",162
2001-01-01,"CRIMINAL DAMAGE",3966
2001-01-01,"CRIMINAL TRESPASS",1191
2001-01-01,"DECEPTIVE PRACTICE",1385
2001-01-01,"DOMESTIC VIOLENCE",1
2001-01-01,"GAMBLING",44
2001-01-01,"HOMICIDE",42
2001-01-01,"INTERFERENCE WITH PUBLIC OFFICER",36
2001-01-01,"INTIMIDATION",18
2001-01-01,"KIDNAPPING",75
2001-01-01,"LIQUOR LAW VIOLATION",101
2001-01-01,"MOTOR VEHICLE THEFT",2095
2001-01-01,"NARCOTICS",4714
2001-01-01,"OBSCENITY",2
2001-01-01,"OFFENSE INVOLVING CHILDREN",239
2001-01-01,"OTHER NARCOTIC VIOLATION",1
2001-01-01,"OTHER OFFENSE",2799
2001-01-01,"PROSTITUTION",563
2001-01-01,"PUBLIC PEACE VIOLATION",161
2001-01-01,"RITUALISM",2
2001-01-01,"ROBBERY",1396
2001-01-01,"SEX OFFENSE",218
2001-01-01,"STALKING",26
2001-01-01,"THEFT",7866
2001-01-01,"WEAPONS VIOLATION",337
2001-02-01,"ARSON",57
2001-02-01,"ASSAULT",2029
2001-02-01,"BATTERY",6040
2001-02-01,"BURGLARY",1666
2001-02-01,"CRIM SEXUAL ASSAULT",135
2001-02-01,"CRIMINAL DAMAGE",3664
2001-02-01,"CRIMINAL TRESPASS",1063
2001-02-01,"DECEPTIVE PRACTICE",1158
2001-02-01,"GAMBLING",37
2001-02-01,"HOMICIDE",27
2001-02-01,"INTERFERENCE WITH PUBLIC OFFICER",27
2001-02-01,"INTIMIDATION",24
2001-02-01,"KIDNAPPING",57
2001-02-01,"LIQUOR LAW VIOLATION",109
2001-02-01,"MOTOR VEHICLE THEFT",1785
2001-02-01,"NARCOTICS",4369
2001-02-01,"OBSCENITY",1
2001-02-01,"OFFENSE INVOLVING CHILDREN",152
2001-02-01,"OTHER OFFENSE",2487
2001-02-01,"PROSTITUTION",426
2001-02-01,"PUBLIC INDECENCY",1
2001-02-01,"PUBLIC PEACE VIOLATION",173
2001-02-01,"ROBBERY",1159
2001-02-01,"SEX OFFENSE",149
2001-02-01,"STALKING",13
2001-02-01,"THEFT",6669
2001-02-01,"WEAPONS VIOLATION",301
2001-03-01,"ARSON",93
2001-03-01,"ASSAULT",2824
2001-03-01,"BATTERY",7659
2001-03-01,"BURGLARY",1832
2001-03-01,"CRIM SEXUAL ASSAULT",153
2001-03-01,"CRIMINAL DAMAGE",4615
2001-03-01,"CRIMINAL TRESPASS",1141
2001-03-01,"DECEPTIVE PRACTICE",1308
2001-03-01,"GAMBLING",55
2001-03-01,"HOMICIDE",37
2001-03-01,"INTERFERENCE WITH PUBLIC OFFICER",22
2001-03-01,"INTIMIDATION",22
2001-03-01,"KIDNAPPING",72
2001-03-01,"LIQUOR LAW VIOLATION",147
2001-03-01,"MOTOR VEHICLE THEFT",2151
2001-03-01,"NARCOTICS",4862
2001-03-01,"OBSCENITY",2
2001-03-01,"OFFENSE INVOLVING CHILDREN",194
2001-03-01,"OTHER OFFENSE",2836
2001-03-01,"PROSTITUTION",550
2001-03-01,"PUBLIC PEACE VIOLATION",267
2001-03-01,"RITUALISM",2
2001-03-01,"ROBBERY",1399
2001-03-01,"SEX OFFENSE",184
2001-03-01,"STALKING",17
2001-03-01,"THEFT",7765
2001-03-01,"WEAPONS VIOLATION",344
2001-04-01,"ARSON",89
2001-04-01,"ASSAULT",2746
2001-04-01,"BATTERY",8325
2001-04-01,"BURGLARY",1931
2001-04-01,"CRIM SEXUAL ASSAULT",132
2001-04-01,"CRIMINAL DAMAGE",4922
2001-04-01,"CRIMINAL TRESPASS",1133
2001-04-01,"DECEPTIVE PRACTICE",1197
2001-04-01,"GAMBLING",79
2001-04-01,"HOMICIDE",59
2001-04-01,"INTERFERENCE WITH PUBLIC OFFICER",34
2001-04-01,"INTIMIDATION",21
2001-04-01,"KIDNAPPING",49
2001-04-01,"LIQUOR LAW VIOLATION",164
2001-04-01,"MOTOR VEHICLE THEFT",2119
2001-04-01,"NARCOTICS",4044
2001-04-01,"OBSCENITY",2
2001-04-01,"OFFENSE INVOLVING CHILDREN",194
2001-04-01,"OTHER OFFENSE",2483
2001-04-01,"PROSTITUTION",564
2001-04-01,"PUBLIC INDECENCY",1
2001-04-01,"PUBLIC PEACE VIOLATION",229
2001-04-01,"RITUALISM",1
2001-04-01,"ROBBERY",1341
2001-04-01,"SEX OFFENSE",168
2001-04-01,"STALKING",29
2001-04-01,"THEFT",7702
2001-04-01,"WEAPONS VIOLATION",321
2001-05-01,"ARSON",94
2001-05-01,"ASSAULT",2903
2001-05-01,"BATTERY",8887
2001-05-01,"BURGLARY",1997
2001-05-01,"CRIM SEXUAL ASSAULT",156
2001-05-01,"CRIMINAL DAMAGE",4756
2001-05-01,"CRIMINAL TRESPASS",1067
2001-05-01,"DECEPTIVE PRACTICE",1255
2001-05-01,"GAMBLING",94
2001-05-01,"HOMICIDE",42
2001-05-01,"INTERFERENCE WITH PUBLIC OFFICER",41
2001-05-01,"INTIMIDATION",25
2001-05-01,"KIDNAPPING",56
2001-05-01,"LIQUOR LAW VIOLATION",194
2001-05-01,"MOTOR VEHICLE THEFT",2197
2001-05-01,"NARCOTICS",4038
2001-05-01,"OBSCENITY",1
2001-05-01,"OFFENSE INVOLVING CHILDREN",208
2001-05-01,"OTHER NARCOTIC VIOLATION",2
2001-05-01,"OTHER OFFENSE",2529
2001-05-01,"PROSTITUTION",503
2001-05-01,"PUBLIC INDECENCY",1
2001-05-01,"PUBLIC PEACE VIOLATION",239
2001-05-01,"RITUALISM",1
2001-05-01,"ROBBERY",1491
2001-05-01,"SEX OFFENSE",224
2001-05-01,"STALKING",11
2001-05-01,"THEFT",8417
2001-05-01,"WEAPONS VIOLATION",390
2001-06-01,"ARSON",87
2001-06-01,"ASSAULT",2767
2001-06-01,"BATTERY",8758
2001-06-01,"BURGLARY",2087
2001-06-01,"CRIM SEXUAL ASSAULT",165
2001-06-01,"CRIMINAL DAMAGE",4772
2001-06-01,"CRIMINAL TRESPASS",1087
2001-06-01,"DECEPTIVE PRACTICE",1228
2001-06-01,"GAMBLING",97
2001-06-01,"HOMICIDE",69
2001-06-01,"INTERFERENCE WITH PUBLIC OFFICER",43
2001-06-01,"INTIMIDATION",33
2001-06-01,"KIDNAPPING",119
2001-06-01,"LIQUOR LAW VIOLATION",143
2001-06-01,"MOTOR VEHICLE THEFT",2278
2001-06-01,"NARCOTICS",4034
2001-06-01,"OBSCENITY",1
2001-06-01,"OFFENSE INVOLVING CHILDREN",216
2001-06-01,"OTHER OFFENSE",2437
2001-06-01,"PROSTITUTION",443
2001-06-01,"PUBLIC INDECENCY",1
2001-06-01,"PUBLIC PEACE VIOLATION",228
2001-06-01,"ROBBERY",1448
2001-06-01,"SEX OFFENSE",204
2001-06-01,"STALKING",19
2001-06-01,"THEFT",8609
2001-06-01,"WEAPONS VIOLATION",349
2001-07-01,"ARSON",124
2001-07-01,"ASSAULT",3019
2001-07-01,"BATTERY",9112
2001-07-01,"BURGLARY",2499
2001-07-01,"CRIM SEXUAL ASSAULT",185
2001-07-01,"CRIMINAL DAMAGE",5271
2001-07-01,"CRIMINAL TRESPASS",1046
2001-07-01,"DECEPTIVE PRACTICE",1183
2001-07-01,"GAMBLING",99
2001-07-01,"HOMICIDE",78
2001-07-01,"INTERFERENCE WITH PUBLIC OFFICER",32
2001-07-01,"INTIMIDATION",23
2001-07-01,"KIDNAPPING",107
2001-07-01,"LIQUOR LAW VIOLATION",164
2001-07-01,"MOTOR VEHICLE THEFT",2569
2001-07-01,"NARCOTICS",3897
2001-07-01,"OBSCENITY",2
2001-07-01,"OFFENSE INVOLVING CHILDREN",208
2001-07-01,"OTHER NARCOTIC VIOLATION",2
2001-07-01,"OTHER OFFENSE",2622
2001-07-01,"PROSTITUTION",533
2001-07-01,"PUBLIC PEACE VIOLATION",213
